Date,Open,High,Low,Close,Adj Close,Volume
3-Jan-92,3172.4,3210.64,3165.92,3201.5,3201.5,236200
6-Jan-92,3201.5,3213.33,3191.86,3200.1,3200.1,272800
7-Jan-92,3200.1,3210.2,3184.48,3204.8,3204.8,255100
8-Jan-92,3204.8,3229.2,3185.82,3203.9,3203.9,290400
9-Jan-92,3203.9,3228.31,3192.75,3209.5,3209.5,298200
10-Jan-92,3209.5,3217.13,3185.38,3199.5,3199.5,234400
13-Jan-92,3199.5,3201.25,3179.11,3185.6,3185.6,193000
14-Jan-92,3185.6,3248.88,3182.92,3246.2,3246.2,242200
15-Jan-92,3246.2,3263.42,3232.11,3258.5,3258.5,295600
16-Jan-92,3258.5,3262.75,3222.05,3249.6,3249.6,381000
17-Jan-92,3249.6,3279.96,3243.29,3265,3265,397800
20-Jan-92,3265,3269.9,3245.08,3254,3254,181900
21-Jan-92,3254,3254.47,3215.34,3223.4,3223.4,241600
22-Jan-92,3223.4,3256.04,3216.91,3255.8,3255.8,215900
23-Jan-92,3255.8,3266.99,3222.94,3226.7,3226.7,221400
24-Jan-92,3226.7,3248.43,3216.68,3232.8,3232.8,226000
27-Jan-92,3232.8,3246.65,3230.55,3240.6,3240.6,191100
28-Jan-92,3240.6,3275.49,3239.94,3272.1,3272.1,249600
29-Jan-92,3272.1,3299.19,3218.47,3225,3225,325000
30-Jan-92,3225,3247.32,3216.01,3244.9,3244.9,220800
31-Jan-92,3244.9,3255.37,3222.72,3223.4,3223.4,206100
3-Feb-92,3223.4,3239.04,3213.55,3234.1,3234.1,188600
4-Feb-92,3234.1,3272.81,3229.43,3272.8,3272.8,239700
5-Feb-92,3272.8,3282.2,3251.79,3257.6,3257.6,273600
6-Feb-92,3257.6,3265.65,3238.6,3255.6,3255.6,204900
7-Feb-92,3255.6,3269.9,3207.96,3225.4,3225.4,216600
10-Feb-92,3225.4,3247.99,3223.84,3245.1,3245.1,161000
11-Feb-92,3245.1,3259.62,3236.14,3251.6,3251.6,234000
12-Feb-92,3251.6,3286,3244.63,3276.8,3276.8,215800
13-Feb-92,3276.8,3283.99,3236.36,3246.7,3246.7,222000
14-Feb-92,3246.7,3254.7,3221.82,3246,3246,212600
18-Feb-92,3246,3268.56,3219.14,3224.7,3224.7,219700
19-Feb-92,3224.7,3241.73,3215.34,3230.3,3230.3,229300
20-Feb-92,3230.6,3283.77,3230.55,3280.6,3280.6,258400
21-Feb-92,3280.6,3286.67,3252.91,3280.2,3280.2,268400
24-Feb-92,3280.2,3289.8,3266.1,3282.4,3282.4,178800
25-Feb-92,3282.2,3282.2,3240.38,3257.8,3257.8,209800
26-Feb-92,3257.8,3290.92,3254.47,3283.3,3283.3,211600
27-Feb-92,3283.3,3286.9,3265.88,3269.5,3269.5,187100
28-Feb-92,3269.5,3293.38,3259.39,3267.7,3267.7,179600
2-Mar-92,3267.7,3276.62,3261.4,3275.3,3275.3,172200
3-Mar-92,3275.3,3295.62,3272.81,3290.3,3290.3,195200
4-Mar-92,3290.3,3299.64,3268.56,3268.6,3268.6,228000
5-Mar-92,3268.3,3268.34,3235.69,3241.5,3241.5,182200
6-Mar-92,3241.5,3252.01,3213.77,3221.6,3221.6,184600
9-Mar-92,3221.6,3227.19,3211.31,3215.1,3215.1,165300
10-Mar-92,3215.1,3248.21,3214.67,3231,3231,207300
11-Mar-92,3231,3233.45,3198.35,3208.6,3208.6,176700
12-Mar-92,3208.6,3213.1,3188.28,3208.6,3208.6,180800
13-Mar-92,3208.6,3237.03,3208.18,3235.9,3235.9,163700
16-Mar-92,3235.9,3236.58,3208.41,3236.4,3236.4,150500
17-Mar-92,3236.4,3260.06,3235.91,3256,3256,180200
18-Mar-92,3256,3271.91,3246.2,3254.3,3254.3,178900
19-Mar-92,3254.3,3269.9,3251.15,3261.4,3261.4,171700
20-Mar-92,3261.4,3277.28,3255.81,3276.4,3276.4,286400
23-Mar-92,3275.9,3275.94,3261.18,3272.1,3272.1,156900
24-Mar-92,3272.1,3284.44,3249.11,3261,3261,243800
25-Mar-92,3261,3276.39,3251.12,3259.4,3259.4,189600
26-Mar-92,3259.4,3275.04,3251.34,3267.7,3267.7,181200
27-Mar-92,3267.7,3268.11,3226.52,3231.4,3231.4,151400
30-Mar-92,3231.4,3248.88,3229.43,3235.2,3235.2,126400
31-Mar-92,3235.2,3260.73,3228.98,3235.5,3235.5,151100
1-Apr-92,3235.5,3252.24,3215.34,3249.3,3249.3,188400
2-Apr-92,3249.3,3259.62,3220.26,3234.1,3234.1,190200
3-Apr-92,3234.1,3250.89,3211.31,3249.1,3249.1,211500
6-Apr-92,3249.3,3276.83,3249.3,3275.5,3275.5,201100
7-Apr-92,3275.5,3279.29,3211.09,3213.6,3213.6,224900
8-Apr-92,3213.6,3213.6,3161.23,3181.4,3181.4,297100
9-Apr-92,3181.8,3231.66,3181.8,3225,3225,244900
10-Apr-92,3225.6,3262.97,3225.6,3255.4,3255.4,186500
13-Apr-92,3255.4,3270.57,3248.43,3269.9,3269.9,132200
14-Apr-92,3269.9,3322.23,3269.45,3306.1,3306.1,260500
15-Apr-92,3307,3354.2,3307,3353.8,3353.8,254600
16-Apr-92,3353.8,3366.5,3343.25,3366.5,3366.5,278400
20-Apr-92,3365.6,3365.61,3315.52,3336.3,3336.3,222900
21-Apr-92,3336.3,3350.63,3320.89,3343.3,3343.3,200800
22-Apr-92,3343.3,3352.86,3330.72,3338.8,3338.8,181600
23-Apr-92,3338.8,3352.86,3330.72,3348.6,3348.6,248100
24-Apr-92,3348.6,3361.81,3323.12,3324.5,3324.5,212200
